-6.06834, -1.21952, 605.31
-4.7237, -1.2195, 848.445
-1.49308, -1.50006, 2018.46
0.425985, -1.49996, 2447.68
1.11628, 13.2702, 2624.28
2.63727, 53.9543, 2802.91
-0.216189, 122.197, 3001.61
-0.385083, 205.419, 3198.42
-2.26192, 305.684, 3373.92
0.525935, 419.777, 3633.99
-0.335165, 471.613, 3924.74
4.10387, 471.5, 4287.72
0.885229, 471.5, 4512.61
2.40994, 471.5, 4786.6
3.08977, 471.5, 4974.09
1.47717, 471.167, 5369.06
-0.0402252, 389.389, 5655.73
-1.03189, 134.263, 6154.55
-1.31872, 44.963, 6421.57
-1.36442, -1.9456, 6872.98
-0.239727, -2.00002, 7856.83
-79.4287, -2.00001, 8198.65
-277.725, -2.00002, 8478.18
-586.535, -2.00004, 8672.82
-934.649, -2.00001, 8727.23
-1293.81, -2.00006, 8618.81
-1517.55, -2.00003, 8407.04
-1722.67, -1.99998, 7889.81
-1729.62, -2.00006, 6950.85
-1846.13, -2.49983, 6489.31
-2140.25, -2.50003, 6194.52
-2564.52, -2.50002, 6075.41
-3081.74, -2.50002, 6222.1
-3368.69, -2.50001, 6548.44
-3460.72, -2.50006, 7021.88
-3457.02, -2.50006, 7537.62
-3454.35, -2.49996, 8294.37
-3455.78, -2.50002, 8785.24
-3529.51, -2.66261, 9692.81
-3529.24, -2.66227, 10406.5
-3384.23, -2.66255, 10746.9
-3384.42, -2.66251, 11368.3
-3458.31, -2.66248, 11892.8
-3462.97, -2.65006, 12625.3
-3451.39, -2.65001, 13349.2
-3581.8, -2.65001, 13706.7
-3773.17, -2.65001, 13992.3
-3922.57, -2.65004, 14273.2
-3921.82, -2.6499, 14630.8
-3750.33, -2.64996, 14994.6
-3447.04, -2.64991, 15371.2
-2955.16, -2.64997, 15795.4
-2425.64, -2.64996, 16068.3
-1971.59, -2.65006, 16102.4
-265.407, -2.58625, 16098
282.608, -2.54006, 15986.1
593.815, -2.54007, 15787.4
909.855, -2.53996, 15459.4
1052.25, -2.54009, 15080.9
1086.59, -2.56734, 14755.8
1088.62, -2.65, 13850.9
1081.88, -2.64992, 12598.9
1127.9, -2.64989, 12377.2
1376.9, -2.64996, 12274.3
1996.74, -2.64999, 12292.7
2248.3, -2.64996, 12264.3
2392.45, -2.65003, 12029.6
2395.15, -2.64998, 11639.5
2398.67, -2.65004, 11290.7
2496.55, -2.65007, 11072.3
3011.92, -2.64995, 11001.4
3362.77, -2.65, 11009.9
3535.96, -2.64998, 10962.2
3628.74, -2.65003, 10745.2
3636.54, -2.65006, 10500.3
3649.05, -2.65, 10077.6
3688.71, -2.65007, 9878.89
3866.33, -2.65002, 9767.01
4190.66, -2.65007, 9724.29
4577.34, -2.64996, 9726.24
4840.36, -2.6499, 9699.67
4941.6, -2.64996, 9567
4970.41, -2.64998, 9280.24
4973.2, -2.64971, 8885.87
4980.66, -2.65006, 8254.32
4982.83, -2.5671, 6989.87
4968.67, -2.36338, 5935.35
4962.45, -2.57107, 5573.81
